,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
917,Tigerland,"Drama, War",6.9,"A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971.",Joel Schumacher,42185,$0.14M,Rain,Autumn
918,TMNT,"Animation, Action, Adventure",6.2,"When the world is threatened by an ancient evil, the four adolescent turtles must reunite and overcome their faults in order to stand against it.",Kevin Munroe,66196,$54.15M,Rain,Spring
919,Soldier,"Action, Drama, Sci-Fi",6.0,"A soldier trained from birth is deemed obsolete and dumped on a waste planet where he is reluctantly taken in by a community of defenseless, stranded wayfarers.",Paul W.S. Anderson,58063,$14.57M,Rain,Autumn
920,The Rage: Carrie 2,"Drama, Horror, Sci-Fi",4.8,"A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers.",Katt Shea,17118,$17.76M,Rain,Spring
921,Volver,"Comedy, Drama",7.6,"After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life.",Pedro Almodóvar,104482,$12.90M,Rain,Autumn
922,A Day to Die,"Action, Crime, Drama",3.5,"Connor Connolly has one day to pay reparations to Tyrone Pettis. He is forced to ask his old military ops crew, led by Brice Mason, to come together to get him two million dollars before he loses everyone he loves in the process.",Wes Miller,4620,0,Rain,Spring
923,Snowtown,"Biography, Crime, Drama",6.6,"Based on true events, 16 year-old Jamie falls in with his mother's new boyfriend and his crowd of self-appointed neighborhood watchmen, a relationship that leads to a spree of torture and murder.",Justin Kurzel,19715,$0.01M,Rain,Autumn
924,Underground,"Comedy, Drama, Fantasy",8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",Emir Kusturica,59570,$0.17M,Rain,Spring
925,A Walk in the Clouds,"Drama, Romance",6.7,A married soldier returning from World War II poses as a pregnant woman's husband to save her from her father's anger and honor.,Alfonso Arau,35223,$50.01M,Rain,Autumn
926,The Majestic,"Drama, Romance",6.9,"In 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",Frank Darabont,55972,$27.81M,Rain,Spring
927,Fish Tank,Drama,7.3,Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,Andrea Arnold,63723,$0.37M,Rain,Spring
928,It Could Happen to You,"Comedy, Drama, Romance",6.4,A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,Andrew Bergman,41722,$37.80M,Rain,Autumn
929,The Mountain Between Us,"Drama, Thriller",6.4,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",Hany Abu-Assad,77893,$30.35M,Rain,Spring
930,My Best Friend's Girl,"Comedy, Romance",5.8,Tank faces the ultimate test of friendship when his best friend hires him to take his ex-girlfriend out on a lousy date in order to make her realize how great her former boyfriend is.,Howard Deutch,45317,$19.22M,Rain,Autumn
931,The Cement Garden,Drama,7.0,"Four children live with their terminally ill mother. After she dies, they try to hold things together. In their isolated house, they begin to deteriorate mentally, whilst they hide their mom's decomposing corpse in a makeshift concrete sarcophagus.",Andrew Birkin,5043,$0.32M,Rain,Autumn
932,The Avengers,"Action, Adventure, Sci-Fi",3.8,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,Jeremiah S. Chechik,44546,$23.32M,Rain,Spring
933,In Her Shoes,"Comedy, Drama, Romance",6.5,"Strait-laced Rose breaks off relations with her party girl sister, Maggie, over an indiscretion involving Rose's boyfriend. The chilly atmosphere is broken with the arrival of Ella, the grandmother neither sister knew existed.",Curtis Hanson,63678,$32.88M,Rain,Autumn
934,Ah fei jing juen,"Crime, Drama, Romance",7.4,A man tries to find out who his real mother is after the woman who raised him tells him the truth.,Kar-Wai Wong,23778,$0.14M,Rain,Autumn
935,Il portiere di notte,Drama,6.6,"A concentration camp survivor rekindles her sadomasochistic relationship with her lover, a former SS officer - now working as a night porter at a Vienna hotel - but his former Nazi associates begin stalking them.",Liliana Cavani,13831,$0.63M,Rain,Spring
936,Mindhunters,"Crime, Horror, Thriller",6.3,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,Renny Harlin,62570,$4.48M,Rain,Autumn
937,Die Welle,"Drama, Thriller",7.6,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Dennis Gansel,111718,0,Rain,Spring
938,Persuasion,"Action, Drama, Family",7.4,"Anne was in love with Frederick, who was rejected by her snobby parents 8 years ago. They've now hit hard times and rent out their mansion to his brother-in-law. He returns a Royal Navy captain. Will he remember Anne?",Adrian Shergold,15942,0,Rain,Spring
939,The Recruit,"Action, Thriller",6.6,A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,Roger Donaldson,139091,$52.80M,Rain,Spring
940,Elvira: Mistress of the Dark,"Comedy, Horror",6.5,"Upon arriving in a small town where she has inherited a rundown mansion, a famous horror hostess battles an evil uncle, and townspeople who want her burned at the stake.",James Signorelli,19336,$5.60M,Rain,Autumn
941,Tucker: The Man and His Dream,"Biography, Comedy, Drama",6.9,"The story of Preston Tucker, the maverick car designer and his ill-fated challenge to the auto industry with his revolutionary car concept.",Francis Ford Coppola,20936,$19.65M,Rain,Autumn
942,Clean and Sober,Drama,6.7,A hustling drug addict checks himself into rehabilitation to escape trouble with the law and realizes that it's exactly what he needs.,Glenn Gordon Caron,6775,$8.67M,Rain,Spring
943,Lilja 4-ever,"Crime, Drama",7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",Lukas Moodysson,47103,$0.18M,Rain,Autumn
944,Crooked House,"Crime, Drama, Mystery",6.3,"In Agatha Christie's most twisted tale, a spy-turned-private-detective is lured by his former lover to catch her grandfather's murderer before Scotland Yard exposes dark family secrets.",Gilles Paquet-Brenner,25821,0,Rain,Autumn
945,Freddy's Dead: The Final Nightmare,"Fantasy, Horror",4.7,"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",Rachel Talalay,48549,$34.87M,Rain,Spring
946,Made in Italy,"Comedy, Drama, Romance",5.9,A bohemian artist travels from London to Italy with his estranged son to sell the house they inherited from their late wife/mother.,James D'Arcy,9183,0,Rain,Autumn
947,Chun gwong cha sit,"Drama, Romance",7.7,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,Kar-Wai Wong,31510,$0.19M,Rain,Spring
948,Un long dimanche de fiançailles,"Drama, Mystery, Romance",7.6,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,74794,$6.17M,Rain,Autumn
949,The Weather Man,"Comedy, Drama",6.6,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",Gore Verbinski,81743,$12.48M,Rain,Autumn
950,"Where'd You Go, Bernadette","Comedy, Drama",6.5,A loving mom becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Her leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.,Richard Linklater,23329,$9.20M,Rain,Autumn
951,Les yeux sans visage,"Drama, Horror",7.6,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,Georges Franju,33187,$0.05M,Rain,Spring
952,Evita,"Biography, Drama, History",6.3,"The hit musical based on the life of Eva Perón (Evita Duarte), a B-picture Argentinian actress who eventually became the wife of Argentinian president Juan Domingo Perón, and the most beloved and hated woman in Argentina.",Alan Parker,36592,$50.05M,Rain,Autumn
953,Sniper,"Action, Thriller, War",6.1,A veteran US Marine sniper is partnered with a rookie sniper as his spotter to take out a politician and a rebel leader in the jungles of Panama.,Luis Llosa,24838,$18.99M,Rain,Autumn
954,The Big Wedding,"Comedy, Drama, Romance",5.6,A long-divorced couple fakes being married as their family unites for a wedding.,Justin Zackham,50803,$21.78M,Rain,Autumn
955,Inventing the Abbotts,"Drama, Romance",6.4,Two working class brothers court three wealthy and beautiful sisters in a small Illinois town.,Pat O'Connor,13427,$5.94M,Rain,Spring
956,Zimna wojna,"Drama, Music, Romance",7.5,"In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France.",Pawel Pawlikowski,59330,$4.57M,Rain,Autumn
957,Bacheha-Ye aseman,"Drama, Family, Sport",8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,76569,$0.93M,Rain,Autumn
958,Words on Bathroom Walls,"Drama, Romance",7.2,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his condition.",Thor Freudenthal,11785,0,Rain,Autumn
959,Repulsion,"Drama, Horror, Thriller",7.6,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Roman Polanski,54901,0,Rain,Autumn
960,Home on the Range,"Animation, Adventure, Comedy",5.4,"To save their farm, the resident animals go bounty hunting for a notorious outlaw.",Will Finn,24441,$50.03M,Rain,Spring
961,Eve's Bayou,Drama,7.2,"What did little Eve see--and how will it haunt her? Husband, father and womanizer Louis Batiste is the head of an affluent family, but it's the women who rule this gothic world of secrets, lies and mystic forces.",Kasi Lemmons,10897,$14.82M,Rain,Autumn
962,Every Secret Thing,"Crime, Drama, Mystery",6.1,"A detective looks to unravel a mystery surrounding missing children and the prime suspects: two young women who, seven years ago, were put away for an infant's death.",Amy Berg,8420,0,Rain,Autumn
963,Ma mère,"Drama, Romance",5.0,"When his father dies, a young man is introduced by his attractive, amoral mother to a world of hedonism and depravity.",Christophe Honoré,7252,$0.07M,Rain,Spring
964,Beau-père,"Comedy, Drama, Romance",6.9,"After her mother dies, fourteen-year-old Marion falls in love with her stepfather, Remy.",Bertrand Blier,3413,0,Rain,Autumn
965,Il Decameron,"Comedy, Drama, History",7.1,"An adaptation of nine stories from Boccaccio's ""Decameron"".",Pier Paolo Pasolini,11445,0,Rain,Autumn
966,Pacifiction,"Drama, Thriller",6.5,"On the French Polynesian island of Tahiti, the high commissioner of the Republic and French government must investigate an ongoing rumor: the sighting of a submarine whose ghostly presence could herald the return of French nuclear testing.",Albert Serra,1892,0,Rain,Autumn
967,The Elder Scrolls V: Skyrim,"Action, Adventure, Fantasy",9.3,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.",Todd Howard,31634,0,Rain,Spring
968,Diarios de motocicleta,"Adventure, Biography, Drama",7.7,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Walter Salles,102883,$16.78M,Rain,Autumn
969,Two-Lane Blacktop,Drama,7.2,"While drag-racing through the American Southwest in a Chevvy 150, a driver and his mechanic cross paths with an alluring hitchhiker and the inexperienced, tall tale-spinning driver of a GTO.",Monte Hellman,12926,0,Rain,Spring
970,The Many Adventures of Winnie the Pooh,"Animation, Adventure, Comedy",7.5,"In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.",John Lounsbery,37970,0,Rain,Autumn
971,The Paperboy,"Crime, Drama, Mystery",5.7,A reporter returns to his Florida hometown to investigate a case involving a death row inmate.,Lee Daniels,38481,$0.69M,Rain,Spring
972,The Mighty,"Comedy, Drama",7.2,"Two young boys, both social outcasts in their small town, form an unlikely friendship.",Peter Chelsom,13458,$2.64M,Rain,Autumn
973,Frankenweenie,"Animation, Comedy, Drama",6.9,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",Tim Burton,111708,$35.29M,Rain,Spring
974,Captain America,"Action, Adventure, Sci-Fi",3.2,"Frozen in the ice for decades, Captain America is freed to battle against archcriminal The Red Skull.",Albert Pyun,14500,$0.01M,Rain,Spring
975,Mr. Right,"Action, Comedy, Romance",6.3,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",Paco Cabezas,58041,$0.03M,Rain,Autumn
976,Where the Truth Lies,"Crime, Mystery, Thriller",6.4,"Karen O'Connor, a young journalist known for her celebrity profiles, is consumed with discovering the truth behind a long-buried incident that affected the lives and careers of showbiz team Vince Collins and Lanny Morris.",Atom Egoyan,18402,$0.87M,Rain,Spring
977,The Woodsman,Drama,7.2,A child molester returns to his hometown after 12 years in prison and attempts to start a new life.,Nicole Kassell,34465,$0.04M,Rain,Autumn
978,Gigi & Nate,"Drama, Family",6.7,"A young man's life is turned upside down becoming quadriplegic. Moving forward seems near impossible until he meets his unlikely service animal, Gigi - a curious and intelligent capuchin monkey.",Nick Hamm,1041,0,Rain,Spring
979,The Great Mouse Detective,"Animation, Adventure, Family",7.1,"Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.",Ron Clements,51741,$38.60M,Rain,Autumn
980,Mary Shelley,"Biography, Drama, History",6.4,"Life and facts of Mary Wollstonecraft Godwin, who at 16 met 21 year old poet Percy Shelley, resulting in the writing of Frankenstein.",Haifaa Al-Mansour,16692,$0.11M,Rain,Autumn
981,Snake Eyes,"Crime, Mystery, Thriller",6.1,A shady police detective finds himself in the middle of a murder conspiracy at an important boxing match in an Atlantic City casino.,Brian De Palma,84029,$55.59M,Rain,Autumn
982,My Cousin Rachel,"Drama, Mystery, Romance",6.0,"A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.",Roger Michell,20091,$2.68M,Rain,Spring
983,Supernova,"Drama, Romance",6.9,"Sam and Tusker are traveling across England in their old RV to visit friends, family and places from their past. Since Tusker was diagnosed with dementia two years ago, their time together is the most important thing they have.",Harry Macqueen,12594,0,Rain,Autumn
984,Rurôni Kenshin: Meiji kenkaku roman tan,"Action, Adventure, Drama",7.4,A former assassin who has resolved to never kill again has his vow sorely tested.,Keishi Otomo,27540,0,Rain,Spring
985,Laura,"Drama, Film-Noir, Mystery",7.9,A police detective falls in love with the woman whose murder he is investigating.,Otto Preminger,49036,$4.36M,Rain,Autumn
986,Kate & Leopold,"Comedy, Fantasy, Romance",6.4,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,James Mangold,86693,$47.12M,Rain,Spring
987,Timecop,"Action, Crime, Sci-Fi",5.9,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",Peter Hyams,61413,$44.85M,Rain,Autumn
988,Here Comes the Boom,"Action, Comedy, Sport",6.4,A high-school biology teacher looks to become a successful mixed martial arts fighter in an effort to raise money to prevent extracurricular activities from being axed at his cash-strapped school.,Frank Coraci,93365,$45.29M,Rain,Autumn
989,The Sure Thing,"Comedy, Drama, Romance",7.0,"Walter Gibson is a university freshman going through a dry spell. His old buddy arranges a ""sure thing"" for him in California. Gibson and his classmate Allison then take a long road trip out to Cali, and both foil each other's plans.",Rob Reiner,21436,$18.14M,Rain,Autumn
990,Caché,"Drama, Mystery, Thriller",7.3,A married couple is terrorized by a series of surveillance videotapes left on their front porch.,Michael Haneke,82269,$3.63M,Rain,Autumn
991,Wuthering Heights,"Drama, Romance",6.0,"A poor boy of unknown origins is rescued from poverty and taken in by the Earnshaw family where he develops an intense relationship with his young foster sister, Cathy.",Andrea Arnold,10671,$0.10M,Rain,Autumn
992,Dagon,"Fantasy, Horror, Mystery",6.2,A boating accident runs a young man and woman ashore in a decrepit Spanish fishing town which they discover is in the grips of an ancient sea god and its monstrous half human offspring.,Stuart Gordon,19768,0,Rain,Spring
993,Becoming Jane,"Biography, Drama, Romance",7.0,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,Julian Jarrold,63329,$18.67M,Rain,Autumn
994,Enemy Mine,"Action, Adventure, Drama",6.8,"During a long space war, the lives of two wounded enemies become dependent on their ability to forgive and to trust.",Wolfgang Petersen,49587,$4.27M,Rain,Spring
995,Tulip Fever,"Drama, History, Romance",6.2,An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.,Justin Chadwick,22015,$2.43M,Rain,Spring
996,Jonah Hex,"Action, Drama, Fantasy",4.7,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",Jimmy Hayward,60135,$10.54M,Rain,Spring
997,No Reservations,"Comedy, Drama, Romance",6.3,The life of a top chef changes when she becomes the guardian of her young niece.,Scott Hicks,76568,$43.11M,Rain,Spring
998,Harsh Times,"Action, Crime, Drama",6.8,A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.,David Ayer,67106,$3.34M,Rain,Autumn
999,Yume,"Drama, Fantasy",7.7,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,Akira Kurosawa,27556,$1.96M,Rain,Autumn
1000,Three Identical Strangers,"Documentary, Biography, Drama",7.6,"In 1980 New York, three young men who were all adopted meet each other and find out they're triplets who were separated at birth. But their quest to find out why turns into a bizarre and sinister mystery.",Tim Wardle,37134,$12.32M,Rain,Spring
1001,Premium Rush,"Action, Crime, Thriller",6.5,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",David Koepp,116148,$20.28M,Rain,Spring
1002,Wonder Boys,"Comedy, Drama",7.2,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",Curtis Hanson,65365,$19.39M,Rain,Spring
1003,Wonder Wheel,"Drama, Romance",6.2,"On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife and the visitor who turns their lives upside-down.",Woody Allen,29716,$1.40M,Rain,Autumn
1004,Europa,"Drama, Thriller",7.6,"Just after W.W.II, an American takes a railway job in Germany, but finds his position politically sensitive with various people trying to use him.",Lars von Trier,22230,$1.01M,Rain,Spring
1005,Troop Beverly Hills,"Adventure, Comedy",5.8,"A soon to be divorced Beverly Hills socialite is determined to prove to her husband and herself that she can finish what she starts out to do, by becoming a den mother to a troop of Beverly Hills Girl Scouts.",Jeff Kanew,10818,$8.51M,Rain,Autumn
1006,Untraceable,"Crime, Mystery, Thriller",6.2,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",Gregory Hoblit,51820,$28.69M,Rain,Autumn
1007,Attenberg,"Comedy, Drama, Romance",6.2,"Stuck in her boring factory town, twenty-three-year-old Marina is at the mercy of both her father's impending death and her distaste for other humans.",Athina Rachel Tsangari,7125,$0.02M,Rain,Autumn
1008,My Stepmother Is an Alien,"Comedy, Sci-Fi",5.4,A creature from another planet tries to seduce a shy Earth physicist to gain control over his researches. The result of this important mission much exceeded her expectations.,Richard Benjamin,27066,$13.85M,Rain,Autumn
1009,The Good Girl,"Drama, Romance",6.4,A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield.,Miguel Arteta,46190,$14.02M,Rain,Spring
1010,Pierrot le fou,"Crime, Drama, Romance",7.4,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",Jean-Luc Godard,35347,0,Rain,Autumn
1011,The Current War,"Biography, Drama, History",6.5,The dramatic story of the cutthroat race between electricity titans Thomas A. Edison and George Westinghouse to determine whose electrical system would power the modern world.,Alfonso Gomez-Rejon,28957,0,Rain,Autumn
1012,Foreign Correspondent,"Action, Romance, Thriller",7.4,"On the eve of World War II, a young American reporter tries to expose enemy agents in London.",Alfred Hitchcock,22270,$3.48M,Rain,Spring
1013,Broken City,"Action, Crime, Drama",6.1,"In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed by its most powerful figure: Mayor Nicholas Hostetler.",Allen Hughes,82025,$19.70M,Rain,Autumn
1014,Shine,"Biography, Drama, Music",7.6,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",Scott Hicks,55261,$35.81M,Rain,Autumn
1015,Exotica,Drama,7.0,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",Atom Egoyan,20397,$4.18M,Rain,Spring
1016,The Baby-Sitters Club,"Comedy, Drama, Family",5.7,Seven junior-high-school girls organize a daycare camp for children while at the same time experiencing classic adolescent growing pains.,Melanie Mayron,5990,$9.69M,Rain,Autumn
1017,Howl,"Action, Fantasy, Horror",5.4,"When passengers on a train are attacked by a creature, they must band together in order to survive until morning.",Paul Hyett,14473,0,Rain,Spring
1018,The Young and Prodigious T.S. Spivet,"Adventure, Comedy, Drama",7.0,"A ten-year-old scientist secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother, escapes home, and travels across the country aboard a freight train to receive an award at the Smithsonian Institute.",Jean-Pierre Jeunet,18962,$0.10M,Rain,Spring
1019,Jabberwocky,"Adventure, Comedy, Fantasy",6.2,A young peasant with no interest in adventure or fortune is mistaken for the kingdom's only hope when a horrible monster threatens the countryside.,Terry Gilliam,15362,0,Rain,Autumn
1020,Biohazard 4,"Action, Adventure, Horror",9.2,"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.",Kuniomi Matsushita,14353,0,Rain,Autumn
1021,Ophelia,"Drama, Romance, Thriller",6.5,"A reimagining of Hamlet, told from Ophelia's perspective.",Claire McCarthy,12208,$0.05M,Rain,Spring
1022,Passengers,"Mystery, Romance, Thriller",5.8,A grief counselor working with a group of plane-crash survivors finds herself at the root of a mystery when her clients begin to disappear.,Rodrigo García,38065,$0.27M,Rain,Autumn
1023,The Merchant of Venice,"Drama, Romance",7.0,"In 16th century Venice, when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead.",Michael Radford,37311,$3.77M,Rain,Spring
1024,The Swan Princess,"Animation, Adventure, Comedy",6.4,A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.,Richard Rich,25943,$9.77M,Rain,Autumn
1025,Poltergeist II: The Other Side,Horror,5.6,"The Freeling family have a new house, but their troubles with supernatural forces don't seem to be over.",Brian Gibson,28417,$41.00M,Rain,Autumn
1026,Total Eclipse,"Biography, Drama, Romance",6.5,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",Agnieszka Holland,16194,$0.34M,Rain,Autumn
1027,The Tall Man,"Crime, Drama, Horror",5.9,"When her child goes missing, a mother looks to unravel the legend of the Tall Man, an entity who allegedly abducts children.",Pascal Laugier,42130,0,Rain,Autumn
1028,Biutiful,"Drama, Romance",7.4,A man dying of cancer tries his best to leave the world on his own terms.,Alejandro G. Iñárritu,92645,$5.10M,Rain,Spring
1029,Very Good Girls,"Drama, Romance",5.9,"Two New York City girls make a pact to lose their virginity during their first summer out of high school. When they both fall for the same street artist, the friends find their connection tested for the first time.",Naomi Foner,15992,0,Rain,Spring
1030,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,"Animation, Action, Adventure",6.2,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.",Kunihiko Yuyama,44333,$85.74M,Rain,Spring
1031,Anonymous,"Drama, Thriller",6.8,"The theory that it was in fact Edward De Vere, Earl of Oxford, who penned Shakespeare's plays. Set against the backdrop of the succession of Queen Elizabeth I and the Essex rebellion against her.",Roland Emmerich,41526,$4.46M,Rain,Autumn
1032,Angela's Ashes,"Biography, Drama",7.3,"Based on the best-selling autobiography by Irish expatriate Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the ...                See full summary »",Alan Parker,22508,$13.04M,Rain,Spring
1033,Psycho III,"Horror, Mystery, Thriller",5.4,"Norman Bates falls in love with a fallen nun who stays at the Bates Motel alongside a drifter and a curious reporter. Meanwhile, ""Mother"" is still watching.",Anthony Perkins,15454,$14.48M,Rain,Autumn
1034,Madeline,"Comedy, Family",6.0,"Horrified at the prospect of her beloved school being sold, a young French girl uses her wit and craftiness to attempt to save it, making an unlikely new friend in the process.",Daisy von Scherler Mayer,7772,$29.77M,Rain,Autumn
1035,Devdas,"Drama, Musical, Romance",7.5,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",Sanjay Leela Bhansali,44082,$3.50M,Rain,Spring
1036,The Man from Snowy River,"Adventure, Drama, Romance",7.2,"In 1880s Australia, after young Jim Craig's father dies, he takes a job at the Harrison cattle ranch, where he is forced to become a man.",George Miller,9521,$20.66M,Rain,Spring
1037,Starter for 10,"Comedy, Drama, Romance",6.7,"Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University.",Tom Vaughan,24367,$0.21M,Rain,Autumn
1038,En kongelig affære,"Biography, Drama, History",7.5,"A young queen, who is married to an insane king, falls secretly in love with her physician - and together they start a revolution that changes a nation forever.",Nikolaj Arcel,48881,$1.55M,Rain,Spring
1039,Dark Water,"Drama, Horror, Mystery",5.6,"A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building, where they are targeted by the ghost of a former resident.",Walter Salles,64117,$25.47M,Rain,Spring
1040,Serena,"Drama, History, Romance",5.4,"In Depression-era North Carolina, the future of George Pemberton's timber empire becomes complicated when he marries Serena.",Susanne Bier,29581,$0.18M,Rain,Spring
1041,Kaifuku Jutsushi no Yarinaoshi,"Animation, Action, Adventure",6.4,"Keyaru is a healing magician who is sexually abused repeatedly by others. Using his healing magic, he goes back four years into the past to get revenge on the ones who abused him.",Yuya Hozumi,3898,0,Rain,Spring
1042,Rachel Getting Married,"Drama, Romance",6.7,"A young woman who has been in and out of rehab for the past ten years, returns home for the weekend for her sister's wedding.",Jonathan Demme,50184,$12.80M,Rain,Autumn
1043,Io sono l'amore,"Drama, Romance",7.0,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",Luca Guadagnino,23248,$5.01M,Rain,Spring
1044,Vanity Fair,Drama,6.2,"Growing up poor in London, Becky Sharp defies her poverty-stricken background and ascends the social ladder alongside her best friend, Amelia Sedley.",Mira Nair,23094,$16.14M,Rain,Spring
1045,Kuch Kuch Hota Hai,"Comedy, Drama, Musical",7.5,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",Karan Johar,54525,$2.10M,Rain,Spring
1046,Zankyô no teroru,"Animation, Crime, Drama",7.8,"Tokyo has been decimated by a terrorist attack, the only clue to the culprit's identity is a bizarre internet video. Two mysterious children form Sphinx, a clandestine entity determined to pull the trigger on this world.",Kaito Ishikawa,12168,0,Rain,Autumn
1047,A Call to Spy,"Biography, Crime, Drama",6.6,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.",Lydia Dean Pilcher,8660,0,Rain,Autumn
1048,The Secret of Kells,"Animation, Adventure, Family",7.5,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Tomm Moore,36841,$0.69M,Rain,Spring
