,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
8858,Dos,"Drama, Mystery, Thriller",4.3,"Two people, a man and a woman, wake up naked and with their abdomens attached to each other.",Mar Targarona,4820,,Snow
8859,Surviving the Game,"Action, Adventure, Crime",6.2,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey.",Ernest R. Dickerson,12433,$7.73M,Snow
8860,Ida,Drama,7.4,A novice nun about to take her vows uncovers a family secret dating back to the German occupation.,Pawel Pawlikowski,59070,$3.83M,Snow
8861,A Hologram for the King,"Comedy, Drama, Romance",6.1,A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,Tom Tykwer,45925,$4.20M,Snow
8862,Snow Falls,Horror,2.9,"After a winter storm strands five friends in a remote cabin with no power and little food, disorientation slowly claims their sanity as each of them succumbs to a fear that the snow itself may be contaminated or somehow evil.",Colton Tran,1116,,Snow
8863,Help!,"Adventure, Comedy, Musical",7.1,"Sir Ringo Starr finds himself the human sacrifice target of a cult, and his fellow members of The Beatles must try to protect him from it.",Richard Lester,20438,$13.08M,Snow
8864,Running Scared,"Action, Comedy, Crime",6.5,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.,Peter Hyams,13960,$38.50M,Snow
8865,Occupation: Rainfall,"Action, Sci-Fi",4.7,"Two years after aliens land on Earth, survivors from Sydney, Australia, fight in a desperate war as the number of casualties continue to grow.",Luke Sparke,14959,,Snow
8866,The Fall of the Roman Empire,"Drama, History, War",6.7,"The death of Marcus Aurelius leads to a succession crisis, in which the deceased emperor's son, Commodus, demonstrates that he is unwilling to let anything undermine his claim to the Roman Empire.",Anthony Mann,9637,$4.75M,Snow
8867,L'acrobate,Drama,6.0,"Montreal is snowed under. While the downtown cranes dance their hypnotic ballet, two strangers meet randomly in an unfinished apartment. Their chance encounter leads to a violent attraction and a dependency beyond reason.",Rodrigue Jean,782,,Snow
8868,Black Christmas,Horror,4.6,"On Christmas Eve, an escaped maniac returns to his childhood home, which is now a sorority house, and begins to murder the sorority sisters one by one.",Glen Morgan,28894,$16.24M,Snow
8869,Au revoir les enfants,"Drama, War",8.0,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.",Louis Malle,34881,$4.54M,Snow
8870,Falling,Drama,6.5,"John Peterson lives with his partner Eric and their adopted daughter in Southern California. When he is visited by his aging father who is searching for a place to retire, their two very different worlds collide.",Viggo Mortensen,6487,,Snow
8871,He Who Dares,"Action, Crime, Thriller",3.1,"A group of ruthless masked terrorists kidnap the Prime Ministers daughter, fortifying themselves in an underground car park rigged with explosives. A crack SAS team are sent in and must take the building one level at a time.",Paul Tanter,1073,,Snow
8872,Jack Frost,"Comedy, Drama, Family",5.4,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",Troy Miller,38516,$34.55M,Snow
8873,Lions for Lambs,"Crime, Drama, Mystery",6.2,"Injuries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor.",Robert Redford,51213,$15.00M,Snow
8874,Secret of the Wings,"Animation, Family, Fantasy",7.0,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,Bobs Gannaway,13151,,Snow
8875,On Deadly Ground,"Action, Adventure, Thriller",4.6,A blowout firefighter takes on an environmentally destructive oil corporation by causing many deaths and explosions in Alaska.,Steven Seagal,24617,$38.59M,Snow
8876,Baby Boom,"Comedy, Drama, Romance",6.3,The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.,Charles Shyer,18125,$26.71M,Snow
8877,How Green Was My Valley,"Drama, Family",7.7,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",John Ford,25283,,Snow
8878,Novitiate,Drama,6.7,"Set in the early 1960s and during the era of Vatican II, a young woman in training to become a nun struggles with issues of faith, the changing church and sexuality.",Maggie Betts,4653,$0.58M,Snow
8879,Ben Is Back,Drama,6.7,A drug addicted teenage boy shows up unexpectedly at his family's home on Christmas Eve.,Peter Hedges,23007,$3.70M,Snow
8880,Affliction,"Drama, Mystery, Thriller",6.9,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,Paul Schrader,18021,$6.30M,Snow
8881,Three Ages,Comedy,7.0,The misadventures of Buster in three separate historical periods.,Edward F. Cline,4796,,Snow
8882,Peter von Kant,Drama,6.3,"Peter Von Kant, a successful, famous director, lives with his assistant Karl, whom he likes to mistreat and humiliate. Through the great actress Sidonie, he meets and falls in love with Amir, a handsome young man of modest means.",François Ozon,1808,,Snow
8883,Munemoshune no musume tachi,"Animation, Action, Drama",7.1,"Rin Asogi runs a private investigation agency in Tokyo's Shinjuku district, performing odd jobs. Despite attempts at a normal life, she finds herself constantly hindered by the strange cases that come her way.",Jamie Marchi,2074,,Snow
8884,Let It Snow,"Comedy, Romance",5.8,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.",Luke Snellin,23539,,Snow
8885,Babes in Toyland,"Comedy, Family, Fantasy",6.1,"Mary Contrary is set to marry Tom Piper when he is kidnapped by Roderigo and Gonzorgo, two goons working for the evil Barnaby who wants to marry Mary for her inheritance.",Jack Donohue,4507,$10.22M,Snow
8886,In America,Drama,7.7,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,Jim Sheridan,43687,$15.54M,Snow
8887,Huo zhe,"Drama, War",8.3,"After Fugui and Jiazhen lose their personal fortunes, they raise a family and survive difficult cultural changes during 1940s to 1970s China.",Yimou Zhang,19298,$2.33M,Snow
8888,The Wolf of Snow Hollow,"Comedy, Horror, Mystery",6.2,"Terror grips a small mountain town as bodies are discovered after each full moon. Losing sleep, raising a teenage daughter, and caring for his ailing father, officer Marshall struggles to remind himself there's no such thing as werewolves.",Jim Cummings,22936,,Snow
8889,Shirley,"Biography, Drama, Horror",6.1,A famous horror writer finds inspiration for her next book after she and her husband take in a young couple.,Josephine Decker,12252,,Snow
8890,The Santa Clause 2,"Comedy, Family, Fantasy",5.7,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Michael Lembeck,60813,$139.24M,Snow
8891,The Fifth Estate,"Biography, Crime, Drama",6.2,A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.,Bill Condon,41945,$3.25M,Snow
8892,Teströl és lélekröl,"Drama, Fantasy, Mystery",7.5,"When slaughterhouse workers Endre and Mária discover they share the same dreams, where they meet in a forest as deer and fall in love, they decide to make their dreams come true, but it's difficult in real life.",Ildikó Enyedi,28693,,Snow
8893,Bad Santa 2,"Comedy, Crime, Drama",5.6,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,27048,$17.78M,Snow
8894,Blow the Man Down,"Comedy, Crime, Drama",6.4,"Mary Beth and Priscilla Connolly attempt to cover up a gruesome run-in with a dangerous man. To conceal their crime, the sisters must go deep into the criminal underbelly of their hometown, uncovering the town's darkest secrets.",Bridget Savage Cole,11291,,Snow
8895,Durak,"Crime, Drama, Thriller",8.0,"Dima Nikitin is an ordinary honest plumber who suddenly decides to face the corrupt system of local politics in order to save the lives of 800 inhabitants of an old dormitory, which is about to collapse.",Yuriy Bykov,15340,,Snow
8896,Anne of Green Gables: The Sequel,"Drama, Family, Romance",8.4,Anne Shirley accepts a teaching position at a girls boarding school in a town dominated by a rich and belligerant family determined to make her life miserable.,Megan Follows,9767,,Snow
8897,Ivalo,"Crime, Drama, Thriller",6.9,"Arctic Circle (aka Ivalo) is set in the unforgiving polar region, amidst the icy landscapes of Finnish Lapland. In season 1 Nina Kautsalo, a Finnish police officer, finds a dying prostitute...                See full summary »",Iina Kuustonen,2330,,Snow
8898,Qu'est-ce qu'on a fait au bon Dieu?,Comedy,7.0,A French Catholic couple sees their life get turned upside-down when their four daughters get married to men of different nationalities and religions.,Philippe de Chauveron,43824,,Snow
8899,Rudolph the Red-Nosed Reindeer,"Animation, Adventure, Comedy",8.0,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,34459,,Snow
8900,Death Wish V: The Face of Death,"Action, Crime, Drama",4.9,"Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters.",Allan A. Goldstein,8239,$1.70M,Snow
8901,Meet Me in St. Louis,"Comedy, Drama, Family",7.5,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Vincente Minnelli,25819,$7.57M,Snow
8902,Ladder 49,"Action, Drama, Thriller",6.5,"A firefighter, injured and trapped in a burning building, has flashbacks of his life as he drifts in and out of consciousness. Meanwhile, fellow firefighters led by the Chief attempt to rescue him.",Jay Russell,58557,$74.54M,Snow
8903,Our Kind of Traitor,"Crime, Drama, Thriller",6.2,"A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.",Susanna White,22861,$3.15M,Snow
8904,Gorky Park,"Crime, Drama, Mystery",6.7,A Moscow police officer investigates a vicious triple homicide and stumbles upon a high-level international political conspiracy.,Michael Apted,15161,$15.90M,Snow
8905,The Dinner,"Crime, Drama, Thriller",4.5,Two sets of wealthy parents meet for dinner to decide what to do about a crime their sons have committed.,Oren Moverman,9046,$1.32M,Snow
8906,The End of the Tour,"Biography, Drama",7.2,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'",James Ponsoldt,31680,$2.99M,Snow
8907,Raise the Titanic,"Action, Drama, Thriller",5.1,"Once they said God himself couldn't sink her. Then they said no man on Earth could reach her. But an underwater research agency, headed by Admiral James Sandecker, is assigned the job of finding the doomed ship in her North Atlantic grave.",Jerry Jameson,4982,$14.82M,Snow
8908,Sans toit ni loi,Drama,7.7,"A young woman's body is found frozen in a ditch. Through flashbacks and interviews, we see the events that led to her inevitable death.",Agnès Varda,12362,,Snow
8909,The Miracle Season,"Drama, Sport",6.5,"After the tragic death of star volleyball player Caroline ""Line"" Found, a team of dispirited high school girls must band together under the guidance of their tough-love coach in hopes of winning the state championship.",Sean McNamara,5840,$10.23M,Snow
8910,Sinbad and the Eye of the Tiger,"Action, Adventure, Family",6.3,Sinbad The Sailor sails to deliver a cursed prince to a dangerous island in the face of deadly opposition from a powerful witch.,Sam Wanamaker,8198,$16.79M,Snow
8911,Russkiy kovcheg,"Drama, Fantasy, History",7.2,"A 19th century French aristocrat, notorious for his scathing memoirs about life in Russia, travels through the Russian State Hermitage Museum and encounters historical figures from the last 200+ years.",Aleksandr Sokurov,21097,$0.04M,Snow
8912,Reindeer Games,"Action, Adventure, Crime",5.8,"After assuming his dead cell-mate's identity to get with the other man's girlfriend, an ex-convict finds himself a reluctant participant in a casino heist.",John Frankenheimer,41181,$23.36M,Snow
8913,Vals Im Bashir,"Documentary, Animation, Biography",8.0,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.,Ari Folman,58979,$2.28M,Snow
8914,Funny Farm,Comedy,6.2,"A couple swap city life for the country, but their picturesque new hometown turns out to be just a little bit different to what they were expecting.",George Roy Hill,23891,$25.54M,Snow
8915,Shurayukihime,"Action, Crime, Drama",7.6,A strikingly beautiful young woman is trained from birth to be a deadly instrument of revenge against the swindlers who destroyed her family.,Toshiya Fujita,15224,,Snow
8916,Woman Walks Ahead,"Biography, Drama, History",6.6,"Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land.",Susanna White,7824,$0.06M,Snow
8917,Hart's War,"Drama, War",6.3,"A law student becomes a lieutenant during World War II, is captured and asked to defend a black prisoner of war falsely accused of murder.",Gregory Hoblit,54148,$19.08M,Snow
8918,Hot Dog ...The Movie,"Comedy, Romance, Sport",5.0,Harkin Banks heads to skiing championships in California. A teen runaway tags along as he parties and competes with friends and foes.,Peter Markle,3665,$20.31M,Snow
8919,Light of My Life,"Drama, Sci-Fi, Thriller",6.6,"Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.",Casey Affleck,14355,,Snow
8920,Memoirs of an Invisible Man,"Comedy, Romance, Sci-Fi",6.0,"After a freak accident, a company executive turns completely invisible, goes on the run and becomes hunted by a treacherous CIA official, whilst trying to cope with his new reality.",John Carpenter,25905,$14.36M,Snow
8921,Tôkyô goddofâzâzu,"Animation, Adventure, Comedy",7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Satoshi Kon,43046,$0.13M,Snow
8922,Alone in the Dark,"Horror, Thriller",6.0,"A few dangerous and delusional mental patients break out of a mental asylum during a power blackout, and lay siege to their new doctor's house, who, they believe, killed their previous doctor.",Jack Sholder,6546,,Snow
8923,Johnny Tsunami,"Drama, Family, Sport",6.2,A Hawaiian teenage surfer shows off his skills when he takes to the snow slopes in Vermont.,Steve Boyum,5759,,Snow
8924,La chiave,"Drama, History, Romance",5.4,"1940s Venice. After twenty years of marriage, a retired art critic and his younger wife feel their passion is waning. To help her shed her inhibitions and rekindle their relationship, the professor records his sexual fantasies in a diary.",Tinto Brass,3040,,Snow
8925,Snow Day,"Adventure, Comedy, Family",5.1,"When a school in upstate New York is snowed in, a group of students hi-jack a plow to keep the school closed.",Chris Koch,13219,$60.02M,Snow
8926,Horsemen,"Crime, Mystery, Thriller",5.5,A recently widowed detective still grieving over his wife's death discovers a shocking connection between a serial killing spree and the Four Horsemen of the Apocalypse.,Jonas Åkerlund,23677,,Snow
8927,O.J.: Made in America,"Documentary, Biography, Crime",8.9,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",Ezra Edelman,20535,,Snow
8928,Super Fly,"Action, Crime, Drama",6.4,The daily routine of cocaine dealer Priest who wants to score one more super deal and retire.,Gordon Parks Jr.,8150,,Snow
8929,Haider,"Action, Crime, Drama",8.0,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,56024,$0.90M,Snow
8930,Frozen Planet II,Documentary,9.0,"Following life in the frozen regions of the planet, including polar bears, Siberian tigers, snow monkeys, and penguins.",David Attenborough,1450,,Snow
8931,Hector and the Search for Happiness,"Adventure, Comedy, Drama",6.9,A psychiatrist searches the globe to find the secret of happiness.,Peter Chelsom,49414,$1.12M,Snow
8932,Sennen joyû,"Animation, Drama, Fantasy",7.8,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.,Satoshi Kon,29684,$0.19M,Snow
8933,White Fang,"Adventure, Drama",6.7,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,Randal Kleiser,21634,$34.79M,Snow
8934,This Island Earth,"Horror, Mystery, Sci-Fi",5.9,Aliens come to Earth seeking scientists to help them in their war.,Joseph M. Newman,10308,,Snow
8935,Mitt liv som hund,"Drama, Comedy",7.6,"In the late '50s, young Ingemar is sent away from his sick mother to live with his aunt and uncle. There he meets a town of eccentrics, and learns about love, sexual desire - and himself.",Lasse Hallström,21738,$8.35M,Snow
8936,Doragon bôru chô: Burorî,"Animation, Action, Adventure",7.7,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",Tatsuya Nagamine,29347,$30.71M,Snow
8937,Single All the Way,"Comedy, Drama, Romance",6.1,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",Michael Mayer,17846,,Snow
8938,Arctic Justice,"Animation, Adventure, Comedy",4.8,"An Arctic fox works in the mailroom of a package delivery service, but wants to be doing the deliveries.",Aaron Woodley,2113,,Snow
8939,Les survivants,"Action, Drama, Thriller",6.2,"Samuel, a man who lives in the Italian Alps, decides to help Chehreh, an Afghan woman, arrive in France. They will have to face a hostile nature and the cruelty of the men who inhabit this territory.",Guillaume Renusson,143,,Snow
8940,Ahlat Agaci,Drama,8.0,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.",Nuri Bilge Ceylan,25519,$0.03M,Snow
8941,Ice Station Zebra,"Adventure, Thriller",6.6,USN nuclear sub USS Tigerfish must rush to the North Pole to rescue the staff of Drift Ice Station Zebra weather station.,John Sturges,11079,,Snow
8942,Import Export,Drama,7.0,"A nurse from Ukraine searches for a better life in the West, while an unemployed security guard from Austria heads East for the same reason.",Ulrich Seidl,6054,,Snow
8943,Hjartasteinn,"Drama, Romance",7.4,"In a fishing village in Iceland, a boy develops feelings for his best friend as his best friend pursues his affections for a girl.",Guðmundur Arnar Guðmundsson,5799,,Snow
8944,8 femmes,"Comedy, Crime, Musical",7.0,"One murdered man, eight women, each seeming to be eager than the others to know the truth. Gimme, gimme, gimme some clues to make up my mind. And eventually enter the truth. Oh, thou cruel woman!",François Ozon,33324,$3.08M,Snow
8945,Seules les bêtes,"Crime, Drama, Mystery",7.1,"A woman disappeared. After a snowstorm, her car is discovered on a road to a small remote village. While the police don't know where to start, five people are linked to the disappearance. Each one with his or her own secret.",Dominik Moll,6816,,Snow
8946,Bajo Cero,"Action, Adventure, Crime",6.2,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",Lluís Quílez,20533,,Snow
8947,Lost Horizon,"Adventure, Drama, Fantasy",7.6,"When a revered diplomat's plane is diverted and crashes in the peaks of Tibet, he and the other survivors are guided to an isolated monastery at Shangri-La, where they wrestle with the invitation to stay.",Frank Capra,13800,,Snow
8948,The Glenn Miller Story,"Biography, Drama, Music",7.3,Biography of bandleader Glenn Miller from his beginnings to his death over the English Channel in December 1944.,Anthony Mann,9264,,Snow
8949,Bigfoot Family,"Animation, Adventure, Family",5.8,"Follow up to Son of Bigfoot: Father uses his new fame to fight against an Alaska oil company but when he disappears the son, the mother, a raccoon and a bear head North to rescue him.",Jeremy Degruson,3183,,Snow
8950,Love Letter,"Drama, Romance",7.9,When exchanging letters two women discover new things about a man they knew.,Shunji Iwai,10008,,Snow
8951,For Whom the Bell Tolls,"Adventure, Drama, History",6.8,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge.",Sam Wood,9783,$17.80M,Snow
8952,Shoot to Kill,"Action, Adventure, Crime",6.8,An F.B.I. Agent teams up with a tracker to pursue a murderer after he vanishes into the mountains and infiltrates a hiking group.,Roger Spottiswoode,14321,$29.30M,Snow
8953,War and Peace,"Drama, Romance, War",6.7,"Napoleon's tumultuous relations with Russia, including his disastrous 1812 invasion, serve as the backdrop for the tangled personal lives of two aristocratic families.",King Vidor,10395,$12.50M,Snow
8954,The Indian Runner,Drama,6.9,A Vietnam vet comes home to his small town and finds himself in conflict with rules that his brother has vowed to uphold.,Sean Penn,9443,$0.19M,Snow
8955,France,"Comedy, Drama",5.9,"A celebrity journalist, juggling her busy career and personal life, has her life over-turned by a freak car accident.",Bruno Dumont,3974,,Snow
8956,Dutch,"Comedy, Drama",6.5,"To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from his prep school, only to learn that he isn't the nicest young man.",Peter Faiman,13329,$4.60M,Snow
8957,Bell Book and Candle,"Comedy, Fantasy, Romance",6.8,"A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead.",Richard Quine,12014,,Snow
8958,Friends with Kids,"Comedy, Drama, Romance",6.1,"Two best friends decide to have a child together while keeping their relationship platonic, so they can avoid the toll kids can take on romantic relationships.",Jennifer Westfeldt,42748,$7.25M,Snow
8959,Away from Her,Drama,7.5,"A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, Aubrey, a wheelchair-bound mute who also is a patient at the nursing home.",Sarah Polley,22694,$4.57M,Snow
8960,Atlantis: Milo's Return,"Animation, Action, Adventure",5.0,Milo and Kida reunite with their friends to investigate strange occurances around the world that seem to have links to the secrets of Atlantis.,Victor Cook,10301,,Snow
8961,Transsiberian,"Crime, Drama, Mystery",6.6,A Transsiberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,Brad Anderson,53842,$2.20M,Snow
8962,Salinjaui gieokbeob,"Action, Crime, Mystery",7.2,A former serial killer with Alzheimer's fights to protect his daughter from her psychotic boyfriend.,Shin-yeon Won,11054,$0.09M,Snow
8963,"Batman: The Dark Knight Returns, Part 2","Animation, Action, Crime",8.3,The Batman has returned after a 10-year absence. The Gotham authorities want to arrest him. An old foe wants a reunion. The Feds want the Man of Tomorrow to put a stop to him.,Jay Oliva,53692,,Snow
8964,Wildling,"Drama, Fantasy, Horror",5.5,A blossoming teenager uncovers the dark secret behind her traumatic childhood.,Fritz Böhm,13960,,Snow
8965,BloodRayne: The Third Reich,"Action, Adventure, Fantasy",3.0,Rayne joins a resistence group to fight against the Nazis during world war two.,Uwe Boll,6680,,Snow
8966,The Plague Dogs,"Animation, Adventure, Drama",7.7,Two dogs escape from a laboratory and are hunted as possible carriers of the bubonic plague.,Martin Rosen,8344,,Snow
8967,Decoys,"Horror, Sci-Fi",4.6,"Luke and Roger are just another couple of college guys trying to lose their virginity. But when Luke sees something unusual, he begins to suspect that the girls on campus aren't exactly human.",Matthew Hastings,5134,,Snow
8968,The Shop Around the Corner,"Comedy, Drama, Romance",8.0,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,35417,$0.20M,Snow
8969,Downtown Owl,Drama,,"Based on the novel by Chuck Klosterman, Downtown Owl is a sparkle dark Reagan Era comedy set in the fictional town of Owl, North Dakota in the leading days up to the region's blizzard in Minnesota's century.",Hamish Linklater,,,Snow
8970,Frozen Planet,Documentary,9.0,Focuses on life and the environment in both the Arctic and Antarctic.,David Attenborough,31568,,Snow
8971,Dersu Uzala,"Adventure, Biography, Drama",8.2,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Akira Kurosawa,31781,,Snow
8972,Alferd Packer: The Musical,"Comedy, Horror, Musical",7.0,The sole survivor of an ill-fated mining expedition tells how his taste for gold was replaced by that of human flesh.,Trey Parker,12723,,Snow
8973,Noruwei no mori,"Drama, Romance",6.3,"Toru recalls his life in the 1960s, when his friend Kizuki killed himself and he grew close to Naoko, Kizuki's girlfriend, and another woman, the outgoing, lively Midori.",Anh Hung Tran,12100,$0.01M,Snow
8974,DuckTales the Movie: Treasure of the Lost Lamp,"Animation, Adventure, Comedy",6.8,"Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.",Bob Hathcock,27783,$18.12M,Snow
8975,Kraftidioten,"Action, Comedy, Crime",7.1,"After his son is murdered by drug dealers, a snowplow driver starts seeking revenge.",Hans Petter Moland,28068,$0.05M,Snow
8976,The Savages,"Comedy, Drama",7.1,A sister and brother face the realities of familial responsibility as they begin to care for their ailing father.,Tamara Jenkins,38099,$6.61M,Snow
8977,Wind Chill,"Adventure, Drama, Horror",5.8,"Two college students share a ride home for the holidays, but when they break down on a deserted stretch of road, they are preyed upon by the ghosts of people who have died there.",Gregory Jacobs,24017,$0.02M,Snow
8978,Kompromat,"Drama, Thriller",6.3,A French diplomat must escape an FSB plot in Siberia.,Jérôme Salle,1559,,Snow
8979,Bus Stop,"Comedy, Drama, Romance",6.3,A naive but stubborn cowboy falls in love with a saloon singer and tries to take her away against her will to get married and live on his ranch in Montana.,Joshua Logan,12228,,Snow
8980,Brat,"Action, Crime, Drama",7.8,"An ex-soldier with a personal honor code enters the family crime business in St. Petersburg, Russia.",Aleksey Balabanov,22757,,Snow
8981,Hana-bi,"Crime, Drama, Romance",7.7,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",Takeshi Kitano,31681,$0.23M,Snow
8982,Adam,"Comedy, Drama, Romance",7.1,"Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.",Max Mayer,35143,$2.28M,Snow
8983,I Still See You,"Fantasy, Horror, Sci-Fi",5.8,Set ten years after an apocalyptic event that killed millions and left the world inhabited by ghosts.,Scott Speer,10722,,Snow
8984,Last Survivors,"Sci-Fi, Thriller",4.8,"A father and son, who have been living off grid for 20 years, encounter an outsider who threatens to destroy the utopia they've built.",Drew Mylrea,2470,,Snow
8985,Albert Nobbs,"Drama, Romance",6.7,"Albert Nobbs struggles to survive in late 19th-century Ireland, where women aren't encouraged to be independent. Posing as a man so she can work as a butler in Dublin's most elegant hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",Rodrigo García,25094,$3.01M,Snow
8986,Blackboard Jungle,"Crime, Drama",7.4,"A new English teacher at a violent, unruly inner-city school is determined to do his job, despite resistance from both students and faculty.",Richard Brooks,9488,,Snow
8987,The Winter Guest,Drama,6.9,"A recent widow, who is determined to leave Scotland for Australia with her son, gets an unexpected visit from her aging mother.",Alan Rickman,3653,$0.78M,Snow
8988,Bury My Heart at Wounded Knee,"Drama, History, Western",7.1,A historic chronicle based on the book by Dee Brown explains how Native Americans were displaced as the United States expanded west.,Yves Simoneau,7044,,Snow
8989,Gekijô-ban Naruto: Daikatsugeki! Yukihime ninpôchô dattebayo!!,"Animation, Action, Adventure",6.6,Naruto and his team are hired to protect a young actress from three rogue warriors in the Land of the Snow.,Tensai Okamura,7364,,Snow
8990,Uncharted 2: Among Thieves,"Action, Adventure, Fantasy",9.3,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",Amy Hennig,26660,,Snow
8991,Whitney,"Documentary, Biography, Drama",7.3,An in-depth look at the life and music of Whitney Houston.,Kevin Macdonald,7637,$3.03M,Snow
8992,Il traditore,"Biography, Crime, Drama",7.1,"The real life of Tommaso Buscetta, the so-called ""boss of the two worlds,"" the first mafia informant in Sicily in the 1980s.",Marco Bellocchio,12056,,Snow
8993,The Man Who Knew Too Much,"Crime, Mystery, Thriller",6.7,An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.,Alfred Hitchcock,20004,,Snow
8994,Fritt vilt,"Horror, Thriller",6.2,"5 young Norwegians head up to the mountains to snowboard. One breaks his leg and it's getting dark soon, so they spend the night in a big, abandoned hotel, closed 30 years ago. They are not alone.",Roar Uthaug,18982,,Snow
8995,Julia,Drama,7.1,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.",Fred Zinnemann,10064,,Snow
8996,Ningen no jôken,"Drama, History, War",8.5,"A Japanese pacifist, unable to face the dire consequences of conscientious objection, is transformed by his attempts to compromise with the demands of war-time Japan.",Masaki Kobayashi,8664,,Snow
8997,La Grande Illusion,"Drama, War",8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Jean Renoir,37608,$0.17M,Snow
8998,Wakefield,Drama,6.3,A lawyer on the edge of madness decides to disassociate himself from his own life.,Robin Swicord,17430,$0.26M,Snow
