,Weather,Track Name,Artist,Album,Image,Popularity,Season
68,Fog,Opera House,Cigarettes After Sex,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b27394d280f0006107be47bb4fe7,66,Autumn
69,Fog,watch you sleep.,girl in red,watch you sleep.,https://i.scdn.co/image/ab67616d0000b273377a4fbc5395a5b6545db319,10,Autumn
70,Fog,White Blood,Oh Wonder,Oh Wonder,https://i.scdn.co/image/ab67616d0000b2737cc94e776ebb63dd08c8422c,59,Spring
71,Fog,I Fall in Love Too Easliy,Caleb Belkin,Discography,https://i.scdn.co/image/ab67616d0000b273ba3f6e5624defa380f9a540a,0,Autumn
72,Fog,Be My Mistake,The 1975,A Brief Inquiry Into Online Relationships,https://i.scdn.co/image/ab67616d0000b2736c582022e90b11f0da287a9a,73,Spring
73,Fog,I'll be friend's with you - Phone Recorded,Arash Buana,I'll be friend's with you (Phone Recorded),https://i.scdn.co/image/ab67616d0000b273261ced7e5b1136134db73b7e,0,Spring
74,Fog,across the room,sky,across the room,https://i.scdn.co/image/ab67616d0000b27349f6617d405beb3114e1a7d6,34,Autumn
75,Fog,Palm of Your Hand,Niall Summerton,Going Under,https://i.scdn.co/image/ab67616d0000b273051a8a716478ee353afbac91,18,Spring
76,Fog,Your Power,Billie Eilish,Your Power,https://i.scdn.co/image/ab67616d0000b273ba4cad4533efdd06fa843a39,7,Autumn
77,Fog,Turning Page (Instrumental),Sleeping At Last,Turning Page,https://i.scdn.co/image/ab67616d0000b273269978f8802991138eca1f45,22,Autumn
78,Fog,Six Feet Under,Billie Eilish,Six Feet Under,https://i.scdn.co/image/ab67616d0000b273fae80fc6c7f60e75cfc519c7,75,Autumn
79,Fog,"Dream, Ivory","Dream, Ivory","Dream, Ivory",https://i.scdn.co/image/ab67616d0000b273a652fc5ec0a0f1ba10168c71,0,Autumn
80,Fog,Luna (Moon of Claiming),Cemeteries,Barrow,https://i.scdn.co/image/ab67616d0000b2738a30c3ac2a1e1228f4f45327,45,Spring
81,Fog,Vas,jagger finn,Triplbt Theme,https://i.scdn.co/image/ab67616d0000b273ee2d3d1345c66a43c57f31c3,77,Spring
82,Fog,Butterfly's Repose,Zabawa,Butterfly's Repose,https://i.scdn.co/image/ab67616d0000b2732aca306cd946b94a5a0b969c,58,Spring
83,Fog,Vanilla Baby,Billie Marten,Feeding Seahorses by Hand,https://i.scdn.co/image/ab67616d0000b27363b01b526ec3cfaa01e52045,60,Autumn
84,Fog,From the Dining Table,Harry Styles,Harry Styles,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,74,Spring
